name,domains,web_pages,contact,location_id
Australian Maritime College,['amc.edu.au'],['http://www.amc.edu.au/'],"amc.marketing@utas.edu.au,+61386767017",1
University of Western Sydney,['uws.edu.au'],['http://www.uws.edu.au/'],,1
University of Western Australia,['uwa.edu.au'],['http://www.uwa.edu.au/'],+61 8 6488 3235 ,1
Blue Mountains Hotel School,['hotelschool.com.au'],['http://www.hotelschool.com.au/'],,1
Charles Darwin University,['cdu.edu.au'],['http://www.cdu.edu.au/'],"study@cdu.edu.au,study@cdu.edu.au, 1800 061 963, 1800 061 963",1
Torrens University Australia,"['torrens.edu.au', 'tua.edu.au']",['https://www.torrens.edu.au']," 1300 575 803, 1300 209 112, 99 154 937 005",1
Flinders University of South Australia,['flinders.edu.au'],['http://www.flinders.edu.au/'], 1300 354 633 ,1
Western Sydney University,['westernsydney.edu.au'],['https://www.westernsydney.edu.au/'],"mypathway@westernsydney.edu.au, 9685 9860 ",1
University of Newcastle,['newcastle.edu.au'],['http://www.newcastle.edu.au/'],"uonsenquiry@newcastle.edu.au,+61 2 4348 4000 ,+65 6221 3306 ,+65 6221 3307 ",1
La Trobe University,['latrobe.edu.au'],['http://www.latrobe.edu.au/'],,1
Edith Cowan University,['ecu.edu.au'],['http://www.ecu.edu.au/'],,1
University of Wollongong,"['uow.edu.au', 'uowmail.edu.au']",['http://www.uow.edu.au/'],"futurestudents@uow.edu.au, 1300 367 869 ,+61 2 4221 3218 ",1
University of Adelaide,['adelaide.edu.au'],['http://www.adelaide.edu.au/'],"admissions.online@adelaide.edu.au, 1300 294 092 ",1
"Institute Of Technology, Australia",['iota.edu.au'],['http://www.iota.edu.au/'],+61-8-8212 6799,1
Australian National University,['anu.edu.au'],['http://www.anu.edu.au/'],"future.student@anu.edu.au, 1800 620 032 ,+61 2 6125 7257",1
Australian Catholic University,['acu.edu.au'],['http://www.acu.edu.au/'],+61 2 9739 2437,1
Victoria University,['vu.edu.au'],['http://www.vu.edu.au/'],"+61 3 9919 4065,+61 3 9919 1164 , 83 776 954 731",1
Central Queensland University,['cqu.edu.au'],['http://www.cqu.edu.au/'],"7 4930 9777 ,7 4936 1691 ",1
Bond University,['bond.edu.au'],['http://www.bond.edu.au/'],"intlsupport@bond.edu.au,+61 7 5595 1024",1
University of Technology Sydney,"['uts.edu.au', 'student.uts.edu.au']",['http://www.uts.edu.au/'],"industry@uts.edu.au,1300 275 887",1
University of Sydney,"['sydney.edu.au', 'usyd.edu.au', 'uni.sydney.edu.au']",['http://sydney.edu.au/']," 1800 793 864 ,+61 2 8627 0010",1
Deakin University,['deakin.edu.au'],['http://www.deakin.edu.au/'], 03 5227 1200 03 5227 1200 ,1
Murdoch University,"['murdoch.edu.au', 'student.murdoch.edu.au']",['http://www.murdoch.edu.au/'],,1
Charles Sturt University,['csu.edu.au'],['http://www.csu.edu.au/'],"firstnations@csu.edu.au, 0416 427 066, 1800 275 278 ",1
Curtin University,['curtin.edu.au'],['http://www.curtin.edu.au/'], 1300 222 888 ,1
University of Melbourne,"['unimelb.edu', 'unimelb.edu.au']",['http://www.unimelb.edu.au/'], 9035 5511 ,1
Holmes Institute,['holmes.edu.au'],['http://www.holmes.edu.au/'],"dherfurt@csl.org, 80401-7042 , 720-496-1370 , 720-279-8992 ",1
University of Tasmania,['utas.edu.au'],['http://www.utas.edu.au/'],"course.info@utas.edu.au, 13 8827 ",1
Linuwel School,['linuwel.nsw.edu.au'],['http://www.linuwel.nsw.edu.au/'],,1
University of South Australia,['unisa.edu.au'],['http://www.unisa.edu.au/']," 1300 148 812 ,+61 8 8302 7333 , 8302 5880 , 8302 0828 ",1
Australian Lutheran College,['alc.edu.au'],['http://www.alc.edu.au/'],,1
University of Queensland,['uq.edu.au'],['http://www.uq.edu.au/'],"admissions@uq.edu.au, 3365 2203, 3365 2061",1
Batchelor Institute of Indigenous Tertiary Education,['nt.gov.au'],['http://www.nt.gov.au/batc/'],,1
University of Canberra,['canberra.edu.au'],['http://www.canberra.edu.au/'],"pathways@canberra.edu.au,ucc.admissions@canberra.edu.au,ucc.studentservices@canberra.edu.au,+61 2 6201 2961 ,+61 2 6201 2961 ",1
University of Southern Queensland,['usq.edu.au'],['http://www.usq.edu.au/']," 1800 007 252,+61 7 4631 5543",1
St. George's University (Australia),['stgc.uwa.edu.au'],['https://stgc.uwa.edu.au/'],,1
"Royal Danish Academy of Fine Arts, School of Architecture",['karch.dk'],['http://www.karch.dk/'],,5
Knightsbridge University,['knightsbridgeuniversity.com'],['http://www.knightsbridgeuniversity.com/'],"admin@knightsbridgeuniversity.com,+45 5132 0457,+45 8647 9828",5
VIA University College,['en.via.dk'],['https://en.via.dk/'],"via@via.dk,arib@via.dk,+45 87 55 00 00 , 30 77 30 47, 243723-,-1-2008-1-,+ 45 87 55 14 63 ",5
Aalborg Business College,['ah.dk'],['http://www.ah.dk/'],,5
Engineering College of Aarhus,['iha.dk'],['http://www.iha.dk/'],,5
Danish University of Education,['dpu.dk'],['http://www.dpu.dk/'],"mscadmissions@adm.dtu.dk, 101 2800 , 30 06 09 46",5
University of Southern Denmark - SDU,['sdu.dk'],['http://www.sdu.dk/'],"sdu@sdu.dk,+45 6550 1000 ,+45 3920 7777",5
Southern Denmark Business School,['hhs.dk'],['http://www.hhs.dk/'],,5
International People's College,['ipc.dk'],['http://www.ipc.dk/'],,5
Roskilde University,['ruc.dk'],['http://www.ruc.dk/'],"ruc@ruc.dk,+45 4674 2000, 5798000418110 , 29 05 75 59",5
Royal Danish School of Educational Sciences,['dlh.dk'],['http://www.dlh.dk/'],,5
Royal School of Library and Information Science,['db.dk'],['http://www.db.dk/'],,5
Aarhus Technical College,['ats.dk'],['http://www.ats.dk/'],,5
Asmildkloster Agricultural School,['asmildkloster.dk'],['https://asmildkloster.dk/'],,5
Royal Veterinary and Agricultural University,['kvl.dk'],['http://www.kvl.dk/'],,5
Tietgen Business College,['tietgen.dk'],['http://www.tietgen.dk/'],"ts@tietgen.dk,+45 65 45 25 00 ,+45 65 45 21 99 ",5
Engineering College of Copenhagen,['ihk.dk'],['http://www.ihk.dk/'],,5
"Royal Danish Academy of Fine Arts, School of Visual Art",['kunstakademiet.dk'],['http://www.kunstakademiet.dk/'],,5
Kal? ?kologisk Agricultural College,['videndjurs.dk'],['https://videndjurs.dk/'],"info@videndjurs.dk,+45 87 58 04 00 , 5798000554115 , 10520509",5
University of Copenhagen,['ku.dk'],['http://www.ku.dk/'],"+4535336390,+4535332085,+4535336878",5
Aarhus University,['au.dk'],['http://www.au.dk/'],"au@au.dk, 1 8000 ,+45 8715 0000, 31119103 ,-31119103",5
Technical University of Denmark,['dtu.dk'],['http://www.dtu.dk/'],+45 45 25 11 99,5
Danish Business Academy,['ddea.dk'],['http://www.ddea.dk/'],,5
Copenhagen Business School,['cbs.dk'],['http://www.cbs.dk/'],"bacheloradmission@cbs.dk,+45 38152710 ",5
Lutheran School Of Theology In Aarhus,['teologi.dk'],['http://www.teologi.dk/'],,5
IT University of Copenhagen,['itu.dk'],['http://www.itu.dk/'],,5
Aarhus School of Business,['hha.dk'],['http://www.hha.dk/'],,5
Aalborg University,"['auc.dk', 'aau.dk', 'student.aau.dk']",['http://www.auc.dk/'],bachelor@aau.dk,5
Royal Danish School of Pharmacy,['dfh.dk'],['http://www.dfh.dk/'],,5
International Business School of Scandinavia,['ibss.eu'],['http://www.ibss.eu/'],,5
Odense University,['ou.dk'],['http://www.ou.dk/'],"bacheloradmission@sdu.dk, 0045 6550 1102 ",5
Royal Danish Academy of Music,['dkdm.dk'],['http://www.dkdm.dk/'],,5
Aarhus School of Architecture,['a-aarhus.dk'],['http://www.a-aarhus.dk/'],"studentervejleder@aarch.dk,a@aarch.dk, 8936 0149 , 7 8000 ,+45 89 36 00 00 , 27120717 , 5798000793088",5
Royal Academy of Music,['musik-kons.dk'],['http://www.musik-kons.dk/'],,5
Diaconia University of Applied Sciences,['diak.fi'],['http://www.diak.fi/'],"admissions@diak.fi, 400 725 384 ",6
University of Helsinki,['helsinki.fi'],['http://www.helsinki.fi/'],"registry@helsinki.fi,+3582941 22222 ,+3582941 22390 ",6
Oulu Polytechnic,['oamk.fi'],['http://www.oamk.fi/'],"study.oamk@oulu.fi,admissions@oamk.fi, 990570 ,+358 20 611 0200, 029 448 9210,+358 20 611 0200",6
Academy of Fine Arts,['kuva.fi'],['http://www.kuva.fi/'],"ptran@pafa.edu, 215-391-4111 , 215-569-0153 ",6
University of Joensuu,['joensuu.fi'],['http://www.joensuu.fi/'],"studentrecruiting@uef.fi, 111 80101 ",6
Scandinavian Art and Business Institute,['sabi.eu.com'],['http://www.sabi.eu.com/'],+358 123 456 789 ,6
Vaasa University of Applied Sciences,['puv.fi'],['http://www.puv.fi/'],+358 29 449 8006 ,6
Laurea University of Applied Sciences,"['laurea.fi', 'student.laurea.fi']",['http://www.laurea.fi/'],"admissions@laurea.fi,+358 9 8868 7293 ,+358 9 8868 7298 ",6
Sibelius Academy,['siba.fi'],['http://www.siba.fi/'],"siba.admissions@uniarts.fi,teak.admissions@uniarts.fi,arkisto@uniarts.fi,+358 294 47 2000",6
Tampere Polytechnic,['tpu.fi'],['http://www.tpu.fi/'],,6
Aalto University,['aalto.fi'],['https://www.aalto.fi'],"admissions@aalto.fi,+358 2944 29290 ",6
Lahti Polytechnic,"['lamk.fi', 'student.lamk.fi']",['http://www.lamk.fi/'],"admission@lut.fi,+358 29 446 2111",6
University of Oulu,['oulu.fi'],['http://www.oulu.fi/'],+358 294 484 108,6
Lappeenranta University of Technology,"['lut.fi', 'student.lut.fi']",['http://www.lut.fi/'],+358 29 446 2111,6
University of Art and Design Helsinki,['uiah.fi'],['http://www.uiah.fi/'],,6
Helsinki University of Technology,['hut.fi'],['http://www.hut.fi/'],,6
Satakunta University Of Applied Scinces,['samk.fi'],['http://www.samk.fi/'],,6
Turku School of Economics and Business Administration,['tukkk.fi'],['http://www.tukkk.fi/'],+358 29 450,6
University of Lapland,['ulapland.fi'],['http://www.ulapland.fi/'],"+358 16 341 341,+358 16 362 936 ",6
"Swedish School of Economics and Business Administration, Finland",['shh.fi'],['http://www.shh.fi/'],"international@hanken.fi,info@hanken.fi,registrator@hanken.fi,29 431 331 ",6
Abo Akademi University,['abo.fi'],['http://www.abo.fi/'],"admission@abo.fi,+358-2-215 4169 , 3 20500 , 2 65100 ",6
Rovaniemi University of Applied Sciences,['ramk.fi'],['http://www.ramk.fi/'],"admissions@lapinamk.fi,+358 400 830036 ,+358 40 5118659 ,+358404856583",6
Theatre Academy Finland,['teak.fi'],['http://www.teak.fi/'],"teak.admissions@uniarts.fi,+358 294 47 2000",6
University of Kuopio,['uku.fi'],['http://www.uku.fi/'],"studentrecruiting@uef.fi, 111 80101 ",6
University of Vaasa,['uwasa.fi'],['http://www.uwasa.fi/'],+358 29 449 8006 ,6
EVTEK University of Applied Sciences,['evtek.fi'],['http://www.evtek.fi/'],"+358 20 7553 500,+358 20 7553 477 ",6
South Carelian Polytechnic,['scp.fi'],['http://www.scp.fi/'], 123-4567 ,6
Tampere University of Technology,['tut.fi'],['http://www.tut.fi/'],"admissions.tamk@tuni.fi,294 5211",6
University of Tampere,['uta.fi'],['http://www.uta.fi/'],+358 294 520 400 ,6
University of Turku,['utu.fi'],['http://www.utu.fi/'],+358 29 450 5000 ,6
University of Jyv?skyl?,['jyu.fi'],['http://www.jyu.fi/'],"admissions@jyu.fi,+358 29441 8051",6
Central Ostrobothnia University of Applied Sciences,['cou.fi'],['http://www.cou.fi/']," 825 0000, 825 2000",6
H?me University of Applied Sciences,['hamk.fi'],['https://www.hamk.fi/'],,6
Metropolia University of Applied Sciences,['metropolia.fi'],['https://www.metropolia.fi/'],"admissions@metropolia.fi,+358 9 7424 5000",6
Helsinki School of Economics and Business Administration,['hkkk.fi'],['http://www.hkkk.fi/']," 22-24 00100 ,+358 40 125 7215 ",6
The Chinese University of Hong Kong,"['cuhk.edu.hk', 'link.cuhk.edu.hk']",['https://www.cuhk.edu.hk/'],,7
City University of Hong Kong,"['cityu.edu.hk', 'um.cityu.edu.hk', 'my.cityu.edu.hk']",['https://www.cityu.edu.hk/'],"ugadm.local@cityu.edu.hk, 3442-7640, 3442-9368",7
The Chinese University of Hong Kong,['cuhk.edu.cn'],['https://www.cuhk.edu.cn/'],,7
Lingnan University,"['ln.edu.hk', 'ln.hk']",['https://www.ln.edu.hk/'],,7
Hong Kong Chu Hai College,['chuhai.edu.hk'],['https://www.chuhai.edu.hk/'],,7
The Hong Kong University of Science and Technology,"['ust.hk', 'connect.ust.hk']",['https://hkust.edu.hk/'],,7
The University of Hong Kong,['hku.hk'],['https://www.hku.hk/'],,7
Canadian International School of Hong Kong,['cdnis.edu.hk'],['https://cdnis.edu.hk'],,7
Hong Kong Baptist University,"['hkbu.edu.hk', 'life.hkbu.edu.hk', 'associate.hkbu.edu.hk']",['https://www.hkbu.edu.hk/'], 3411 2200 ,7
The Hang Seng University of Hong Kong,['hsu.edu.hk'],['http://www.hsu.edu.hk/'],"registry@hsu.edu.hk, 3963 5555 ",7
Hong Kong Shue Yan University,['hksyu.edu'],['https://www.hksyu.edu/'],,7
The Hong Kong Academy for Performing Arts,['hkapa.edu'],['https://www.hkapa.edu/'],,7
The Hong Kong Polytechnic University,"['polyu.edu.hk', 'connect.polyu.hk']",['https://www.polyu.edu.hk/'],"ar.tpg@polyu.edu.hk,gs.admission@polyu.edu.hk, 2333 0600 , 3400 3635 , 2334 6671 , 3400 2980 ",7
The Education University of Hong Kong,"['s.eduhk.hk', 'eduhk.hk']",['https://www.eduhk.hk'],"info@eduhk.hk,admission@eduhk.hk, 2948 8888 , 2948 6000",7
Hong Kong Metropolitan University,"['hkmu.edu.hk', 'ouhk.edu.hk']",['https://www.hkmu.edu.hk/'],,7
Takhatmal Shrivallabh Homoeopathic Medical College,['tshmc.org'],['http://www.tshmc.org/'],"tshmc_26@rediffmail.com, 0721-2677356 , 0721-2563100 , 444 606 ",2
Krishna University,['krishnauniversity.ac.in'],['http://www.krishnauniversity.ac.in/'],"crskru@gmail.com, 2025 - 2026 , 08672-259201, 08672-259226 ",2
Guru Nanak Dev University,['gnduonline.org'],['http://www.gnduonline.org/'],,2
Bengal Engineering College,['becs.ac.in'],['http://www.becs.ac.in/']," 9679848800, 7477794700, 0343-2533189 ",2
National Institute of Technology Uttarakhand,['nituk.ac.in'],['http://www.nituk.ac.in/']," -246174, 01346-257422",2
Acharya Ranga Agricultural University,['angrau.net'],['http://www.angrau.net/'],"registrar@angrau.ac.in, 522 034 , 1800-425-0430",2
Bundelkhand University,['bundelkhanduniversity.org'],['http://www.bundelkhanduniversity.org/']," 0510-2320496, 2320307, 2321158",2
"ICFAI University, Jaipur",['iujaipur.edu.in'],['https://www.iujaipur.edu.in/'],"admissions@iujaipur.edu.in, 8094688800 , 9785015276",2
Eiilm University,['eiilmuniversity.ac.in'],['http://www.eiilmuniversity.ac.in/'],,2
Shivaji University,['unishivaji.ac.in'],['http://www.unishivaji.ac.in/'],,2
"ICFAI University, Tripura",['iutripura.edu.in'],['https://www.iutripura.edu.in/'],"admissions@iutripura.edu.in, - 799210, 0381-2865752,+91-8415952506 , 18003453673 ,+91-6909879797 , 0381 - 2865754 ",2
Gulbarga University,['gulbargauniversity.kar.nic.in'],['http://www.gulbargauniversity.kar.nic.in/'],,2
Gurukul University,['gurukuluniversity.org'],['http://www.gurukuluniversity.org/'],,2
University of Rajasthan,['uniraj.org'],['http://www.uniraj.org/'],,2
"Indian Institute of Technology, Kharagpur","['iitkgp.ernet.in', 'iitkgp.ac.in']","['http://www.iitkgp.ernet.in/', 'http://www.iitkgp.ac.in/']",,2
Christ University,['christuniversity.in'],['http://www.christuniversity.in/'],,2
Delhi College of Engineering (DCE),['dceonline.net'],['http://www.dceonline.net/'],,2
Postgraduate lnstitute of Medical Education and Research,['pgimer.nic.in'],['http://www.pgimer.nic.in/'],,2
Lalit Narayan Mithila University,['lnmu.bih.nic.in'],['http://lnmu.bih.nic.in/'],"admission.lnmu@gmail.com,+91-9771884350 ",2
JIS Institute of Pharmacy,['jisiop.org'],['https://jisiop.org/'],,2
Gujarat Technological University Ahmedabad,['gtu.ac.in'],['http://www.gtu.ac.in/'],"registrar@gtu.ac.in,info@gtu.ac.in,- 382424,+079-23267521 ,+079-23267570",2
"ICFAI University, Raipur",['iuraipur.edu.in'],['https://www.iuraipur.edu.in/'],,2
Indira Gandhi Institute of Development and Research,['igidr.ac.in'],['http://www.igidr.ac.in/'],,2
Indian Institute of Information Technology and Management - Kerala,['iiitmk.ac.in'],['http://www.iiitmk.ac.in/'],"info@iiitmk.ac.in,+ 91 471 2527567, 471 2700777,+ 91 471 2527568",2
"Indraprastha Institute of Information Technology, Delhi",['iiitd.ac.in'],['http://www.iiitd.ac.in/'],"btech-admissions@iiitd.ac.in, - 110020, 91-11-2690 7140",2
Manipur University,['manipur.nic.in'],['http://www.manipur.nic.in/maniuniversity.htm'],,2
"Indian Institute of Management, Tiruchirappalli",['iimtrichy.ac.in'],['http://www.iimtrichy.ac.in/'],,2
JIS School of Polytechnic,['jissp.ac.in'],['https://www.jissp.ac.in/'],"admission.jissp@jisgroup.org, - 741235,+91 33 2502 5690 ,+91 82407 66831",2
"Indian Institute of Information Technology, Vadodara",['iiitvadodara.ac.in'],['http://iiitvadodara.ac.in/'],,2
Aligarh Muslim University,['amu.ac.in'],['http://www.amu.ac.in/']," 202002 , 0114 1219 005",2
PSG College of Technology,['psgtech.edu'],['http://www.psgtech.edu/'],,2
University of Madras,['unom.ac.in'],['http://www.unom.ac.in/'],,2
Visva-Bharati University,['visva-bharati.ac.in'],['http://www.visva-bharati.ac.in/'],,2
Sri Ramachardra Medical College and Research Institute,['sriramachandra.edu.in'],['https://www.sriramachandra.edu.in/'],,2
"Indian Institute of Technology, Roorkee",['iitr.ac.in'],['http://www.iitr.ac.in/'],,2
"Indian Institute of Technology, Patna",['iitp.ac.in'],['http://www.iitp.ac.in/']," - 801106,+91 6115 233 337 ",2
First Global University to teaching Jainism,['jainuniversity.org'],['http://www.jainuniversity.org/'],,2
"Indian Institute of Technology, Jodhpur",['iitj.ac.in'],['http://www.iitj.ac.in/'],,2
Indian Veterinary Research Institute,['ivri.nic.in'],['http://www.ivri.nic.in/'],,2
University of Petroleum and Energy Studies,['upes.ac.in'],['https://www.upes.ac.in/'],,2
Tilka Manjhi Bhagalpur University,['tmbu.org'],['http://www.tmbu.org/'],,2
Nagaland University,['nagauniv.org.in'],['http://www.nagauniv.org.in/'],,2
Indian School of Business Management and Administration,['isbm.org.in'],['http://isbm.org.in/'],,2
Panjab University,['puchd.ac.in'],['http://www.puchd.ac.in/'],,2
JIS University,['jisuniversity.ac.in'],['https://www.jisuniversity.ac.in/'],,2
Indian University,['iur.ac.in'],['http://www.iur.ac.in/']," 812-855-0661 , 812-855-5102 , 47405-7108",2
Darul Huda Islamic University,['darulhuda.com'],['http://www.darulhuda.com/'],,2
Ch. Charan Singh University,['ccsuniversity.org'],['http://www.ccsuniversity.org/'],,2
Rajitlal Institute of Technology & Health Sciences (RITHS),['riths.ac.in'],['http://www.riths.ac.in/'],,2
Sher-E-Kashmir University of Agricultural Sciences and Technology,['skuastkashmir.ac.in'],['http://www.skuastkashmir.ac.in/'],,2
"Indian Institute of Technology, Madras",['iitm.ac.in'],['http://www.iitm.ac.in/'],,2
Jawaharlal Nehru Technological University Hyderabad,['jntuh.ac.in'],['http://www.jntuh.ac.in/'],,2
Jawaharlal Nehru University,['jnu.ac.in'],['http://www.jnu.ac.in/'],,2
RMK Engineering College,['rmkec.ac.in'],['http://www.rmkec.ac.in/'],,2
Kannada University,['kannadauniversity.org'],['http://www.kannadauniversity.org/'],,2
Rabindra Bharati University,['rabindrabharatiuniversity.net'],['http://www.rabindrabharatiuniversity.net/'],,2
Narendra Deva University of Agriculture and Technology,['nduat.nic.in'],['http://www.nduat.nic.in/'],,2
Dr. D.Y. Patil University,['dypatiluniversity.org'],['http://www.dypatiluniversity.org/'],,2
Kuvempu University,['kuvempu.ac.in'],['http://www.kuvempu.ac.in/'],,2
Bhupendra Narayan Mandal University,['bnmu.in'],['http://www.bnmu.in/'],,2
University of Kashmir,['kashmiruniversity.net'],['http://kashmiruniversity.net/'],,2
Kerala Agricultural University,['kau.edu'],['http://www.kau.edu/'],,2
Saurashtra University,['saurashtrauniversity.edu'],['http://www.saurashtrauniversity.edu/'],,2
Yashawantrao Chavan Maharashtra Open University,['ycmou.com'],['http://www.ycmou.com/'],,2
Sri Sai Ram Institute of Technology,['sairamit.edu.in'],['https://sairamit.edu.in/'],"sairam@sairamit.edu.in,career@sairamit.edu.in, - 600044,+91-44-22512111 , 2251 2333 ,+91-44-22512444,+91-44-22512323",2
Kumaun University,['kumaununiversity.org'],['http://www.kumaununiversity.org/'],,2
Magadh University,['magadhuniversity.org'],['http://www.magadhuniversity.org/'],,2
National Institute of Technology Manipur,['nitmanipur.ac.in'],['http://www.nitmanipur.ac.in'],,2
Mahatma Phule Agricultural University,['mpkv.mah.nic.in'],['http://mpkv.mah.nic.in/'],,2
"Indian Institute of Technology, Delhi","['iitd.ernet.in', 'iitd.ac.in']","['http://www.iitd.ernet.in/', 'https://home.iitd.ac.in/']",,2
Manav Rachna University,['manavrachna.edu.in'],['https://manavrachna.edu.in/'],,2
Tumkur University,['tumkuruniversity.ac.in'],['http://www.tumkuruniversity.ac.in/'],,2
Jamia Hamdard University,['jamiahamdard.edu'],['http://www.jamiahamdard.edu/'],,2
National Institute of Technology Sikkim,['nitsikkim.ac.in'],['http://www.nitsikkim.ac.in/'],,2
"Mahatma Gandhi University, Kerala",['mgu.ac.in'],['http://www.mgu.ac.in/'],"frontoffice@mgu.ac.in, - 686 560, 0481 2733516, 2733580, 2733505,2733375 ",2
Tamil Nadu Veterinary and Animal Sciences University,['tanuvas.com'],['http://www.tanuvas.com/'],,2
Sikha 'O' Anushandhan University,['soauniversity.ac.in'],['http://www.soauniversity.ac.in/'],,2
Bangalore University,['bengaluruuniversity.com'],['http://bengaluruuniversity.com/']," 080-22961000, 22961037, 22961040, 23213023",2
Saveetha Engineering College,['saveetha.ac.in'],['https://www.saveetha.ac.in/'],,2
Ashoka University,['ashoka.edu.in'],['https://www.ashoka.edu.in'],,2
Himachal Pradesh University,['hpuniv.nic.in'],['http://hpuniv.nic.in/'],,2
Panimalar Engineering College,"['panimalar.ac.in', 'panimalarengineeringcollegechennai.ac.in']","['https://panimalar.ac.in', 'https://panimalarengineeringcollegechennai.ac.in/']",,2
Himachal Pradesh Agricultural University,['hillagric.ernet.in'],['http://hillagric.ernet.in/'],,2
Dr. Babasaheb Ambedkar Technological University,['dbatechuni.org'],['http://www.dbatechuni.org/'],,2
Institute of Management Studies,['nims.net.in'],['http://www.nims.net.in/']," - 400 056, 022-4235 5555",2
National Institute of Technology Andhra Pradesh,['nitandhra.ac.in'],['http://www.nitandhra.ac.in/'],"registrar@nitandhra.ac.in, - 534102, 08818-284710",2
Kerala University of Fisheries and Ocean Sciences,['kufos.ac.in'],['http://www.kufos.ac.in/'],"admissions@kufos.ac.in, 0484 2275032, 682 506",2
Karnataka State Law University,['kslu.ac.in'],['http://www.kslu.ac.in/'],"ksluregistrar@karnataka.gov.in,kslulawschool@gmail.com,+91-836-2222392, 2222492 , 2024 - 2025 ",2
National Institute of Technology Delhi,['nitdelhi.ac.in'],['http://www.nitdelhi.ac.in/'],"Email-secretary@nitdelhi.ac.in, 011-33861005 ,+91-1133861005",2
National Institute of Technology Goa,['nitgoa.ac.in'],['http://www.nitgoa.ac.in/'],,2
Birsa Agricultural University,['bau.nic.in'],['http://www.bau.nic.in/'],,2
Mangalore University,['mangaloreuniversity.ac.in'],['http://www.mangaloreuniversity.ac.in/'],,2
National Institute of Technology Mizoram,['nitmz.ac.in'],['http://www.nitmz.ac.in'],,2
National Institute of Technology Calicut,['nitc.ac.in'],['http://www.nitc.ac.in/'],,2
Nagpur University,['nagpur-university.com'],['http://www.nagpur-university.com/'],,2
Guru Nanak Institute of Pharmaceutical Science & Technology,['gnipst.ac.in'],['https://www.gnipst.ac.in/'],,2
Guru Nanak Institute of Hotel Management,['gnihm.ac.in'],['https://www.gnihm.ac.in/'],,2
Mahatma Jyotiba Phule Rohilkhand University Bareilly,['mjpru.ac.in'],['http://www.mjpru.ac.in/'],"registrar@mjpru.ac.in, 418000 , 05812520801",2
Saveetha University,['saveetha.com'],['https://www.saveetha.com/'],"admission@saveetha.ac.in, 66726603,+91-8939902737",2
Orissa University of Agriculture and Technology,['bhub.ori.nic.in'],['http://bhub.ori.nic.in/ouat/'],,2
Velammal Institute of Technology,['velammalitech.edu.in'],['https://velammalitech.edu.in/'],"info@velammaltrust.com, 044 - 65161766 , 044 - 26591841 , 044 - 26590757 ",2
National Institute of Technology Meghalaya,['nitm.ac.in'],['http://www.nitm.ac.in'],"admissions_incharge_ug@nitm.ac.in,admissions_ug@nitm.ac.in, 91-364-2501294",2
Uttar Pradesh Technical University,['uptu.ac.in'],['http://www.uptu.ac.in/'],"registrar@aktu.ac.in, 555996 , 05222336805",2
Atharva College of Engineering,['atharvacoe.ac.in'],['https://atharvacoe.ac.in'],,2
Jawaharlal Nehru Agricultural University,['jnkvv.nic.in'],['http://www.jnkvv.nic.in/'],,2
Gandhi Institute of Technology and Managment,['gitam.edu'],['http://www.gitam.edu/'],,2
